Panel ID	Edge1	Edge2	Edge3	Type	Channels	Controller vertex	Signal in vertex	Signal edge
SUF	47-50	44-47	44-50	lit	3	50	44	44-47	
SUA	39-101	39-44	44-101	lit	4	101	39	39-44	
SDC	67-90	67-93	90-93	lit	4	93	90	90-67	
SCC	98-99	98-100	99-100	lit	3	99	99	99-100	
SFD	69-82	69-70	70-82	lit	1	70	82	82-69	
SEE	69-90	51-90	51-69	lit	2	69	69	69-90	
SBE	99-102	26-99	26-102	lit	2	26	99	99-102	
SAD	28-111	26-28	26-111	lit	1	26	26	26-111	
SFB	89-127	70-89	70-127	lit	3	70	127	127-70	
SEC	69-93	69-127	93-127	lit	2	69	69	69-93	
SBC	100-115	26-100	26-115	lit	2	100	100	26-100	
SAB	28-113	28-115	113-115	lit	3	109	113	113-115	
SEA	60-125	60-127	125-127	lit	2	125	125	125-60	
SBA	115-117	10-115	10-117	lit	2	117	117	117-10	
FSA	89-125	89-126	125-126	lit	3	126	126	125-126	
ASA	113-117	113-124	117-124	lit	3	124	124	124-113	
SFC	69-127	69-70	70-127	lit	2	69	70	70-127	
SED	90-93	69-90	69-93	lit	3	90	90	90-93	
SBD	99-100	26-99	26-100	lit	3	26	99	99-100	
SAC	28-115	26-28	26-115	lit	2	26	28	28-115	
FSC	70-81	70-82	81-82	lit	1	70	82	82-81	
FB	81-89	81-91	89-91	lit	3	81	91	91-89	
ASC	109-111	28-109	28-111	lit	1	109	109	109-111	
AB	109-112	109-113	112-113	lit	3	109	113	113-112	
SFA	89-125	89-127	125-127	lit	2	125	127	127-89	
SEB	93-127	60-93	60-127	lit	1	93	60	60-127	
SBB	100-115	10-100	10-115	lit	1	100	10	10-115	
SAA	113-115	113-117	115-117	lit	2	117	115	115-113	
FSB	70-81	81-89	70-89	lit	2	70	81	81-89	
FA	89-91	89-126	91-126	lit	4	126	91	91-89	
ASB	109-113	28-109	28-113	lit	2	109	109	109-113	
AA	112-113	112-124	113-124	lit	4	124	113	113-112	
SDB	67-93	65-67	65-93	lit	2	93	93	93-65	
SDA	60-93	60-65	65-93	lit	2	93	93	93-65	
SCB	98-100	11-98	11-100	lit	2	100	100	100-11	
SCA	10-100	10-11	11-100	lit	2	100	100	100-11	
FPC	81-92	73-81	73-92	lit	1	81	81	81-92	
FPB	81-91	73-81	73-91	lit	2	81	81	81-91	
APC	109-110	27-109	27-110	lit	1	109	109	109-110	
APB	109-112	27-109	27-112	lit	2	109	109	109-112	
PUF	56-58	56-57	57-58	solid	3	56	57	57-58	
PUA	43-86	43-57	57-86	solid	4	86	86	57-86	
PDC	84-85	83-85	83-84	solid	3	84	84	84-85
PCC	96-97	80-96	80-97	solid	4	97	96	80-96	
FPA	91-126	91-129	126-129	lit	3	129	126	126-129
APA	112-116	112-124	116-124	lit	3	116	124	124-112	
PFD	25-27	25-110	27-110	solid	1	27	110	110-25
PEE	25-84	25-88	84-88	solid	2	88	84	84-88
PBE	75-96	52-75	52-96	solid	2	75	75	75-96
PAD	73-92	73-75	75-92	solid	1	92	75	75-92
PFB	27-112	27-114	112-114	solid	3	114	114	112-114
PEC	25-83	25-114	83-114	solid	2	83	83	83-25
PBC	75-97	75-128	97-128	solid	2	128	97	97-75
PAB	91-128	73-91	73-128	solid	3	128	128	128-73
PEA	114-116	9-114	9-116	solid	2	116	116	9-116
PBA	128-129	78-128	78-129	solid	2	129	129	78-129
PFC	25-27	25-114	27-114	solid	2	27	27	27-114
PED	25-84	25-83	83-84	solid	3	84	83	83-84
PBD	75-96	75-97	96-97	solid	3	75	97	97-96
PAC	73-75	73-128	75-128	solid	2	128	128	128-73
PFA	112-114	112-116	114-116	solid	2	116	114	114-112
PEB	83-114	9-83	9-114	solid	1	83	9	9-114
PBB	97-128	78-97	78-128	solid	1	128	128	128-78
PAA	91-128	91-129	128-129	solid	2	128	128	91-128
PDB	83-85	12-85	12-83	solid	2	83	83	83-12
PDA	9-83	9-12	12-83	solid	2	83	83	83-12
PCB	80-97	79-80	79-97	solid	2	97	97	97-79
PCA	78-97	78-79	79-97	solid	2	97	97	97-79
